,x,y,label
0,7.462338704937657,-1.094546484100968,2
1,10.354459032141751,-7.732448281612282,0
2,7.496513677602657,-3.1893656791192115,1
3,8.113439703748554,-0.9580123166804092,2
4,7.676884860756817,-1.699548695532009,2
5,7.88669358906137,-1.7368100172569028,1
6,5.866831782811808,0.45348310082942045,2
7,8.001616284603179,-4.917113458659795,1
8,9.724289980939497,-7.66926255976037,0
9,6.54756910045583,-0.5419587056834463,2
10,11.651521949121419,-8.342379056689325,0
11,10.101496437687484,-6.728317754147927,0
12,10.3944560665151,-7.689049077241231,0
13,9.630868216647121,-0.7199336196175378,2
14,8.938050222686101,-3.093713331591179,1
15,8.61961018670662,-1.9828519256187105,1
16,8.775890841049863,-8.961310959988202,0
17,6.975032484249771,-1.0877621078903088,2
18,7.7037858928537695,-3.315190527195119,1
19,8.666670636615263,-4.054616901447999,1
20,5.931846969465367,-4.0525811323152885,1
21,8.684377802357764,-3.12812796741196,1
22,8.043091037325715,-4.398354541242487,1
23,7.7596377888195285,0.24950338493215451,2
24,6.582918847796318,-0.8638083955789451,2
25,8.103972048829842,-0.98587170525916,2
26,8.16970819237518,-4.446774637771483,1
27,8.216936422141254,-9.849155099517715,0
28,10.412396424304147,-6.677344312675723,0
29,4.936019385428016,-2.1456748992452326,1
30,8.932324915136924,-8.245585171425624,0
31,9.362125967996823,-4.9393632262486085,1
32,7.577208196986165,-2.0871722170946554,1
33,7.861513157522419,-0.156951577976493,2
34,8.813022118012832,-7.046249906005611,0
35,8.355347870476583,-7.368249723639918,0
36,7.001803977788848,-0.03586300666995246,2
37,8.413011995323407,-4.518337333835658,1
38,10.144675857579147,-7.031810043336524,0
39,10.27618748777383,-8.798219002290654,0
40,9.132564731257144,-9.007089083378597,0
41,10.177160866096015,-8.936050743157347,0
42,8.525677489544076,-10.093927024550743,0
43,8.785173117386186,-1.9373931526486048,2
44,6.859520872774214,0.2309665308827188,2
45,8.279916212299716,-0.6920624475668139,2
46,8.482604315360122,-3.8946282654947906,1
47,8.435375203694422,-3.2405865797315965,1
48,7.291607363855244,-2.6055790987021044,1
49,7.535607571057033,0.03117850767438579,2
50,5.916063100874685,-1.5057251757525747,2
51,7.632902041789105,-3.2155522880356866,1
52,9.031755287267549,-0.8735389536817054,2
53,7.606957719929987,-1.710145555434393,1
54,9.413651364657037,-8.3867503834965,0
55,10.693837320000362,-8.358747434503357,0
56,9.170580482888885,-2.046780163122592,1
57,8.074737654330054,-4.007258738902547,1
58,7.479562388996348,-1.8169938868690463,2
59,9.906258893230532,-8.499691465735506,0
60,5.6356801805276895,-3.4807729749262517,1
61,7.268375662573883,0.10970632262246782,2
62,9.869120965729744,-8.254265792792133,0
63,10.149182447105261,-7.774143640419772,0
64,8.050772534491372,-0.38695988022214056,2
65,8.889304625280062,-0.2273006193029134,2
66,7.978379047046352,0.03453146395133322,2
67,8.286655447158834,-0.6783931855718178,2
68,8.541301319471732,-0.6838863557837347,2
69,8.30033800666671,-6.383560666546178,0
70,6.3681002988712105,-3.077235573936242,1
71,6.374556518810941,0.8697010475547258,2
72,8.043399750718127,-1.0074145508536385,2
73,7.993565582026806,-2.74895989392328,1
74,7.694611728993229,-4.58625115400161,1
75,8.329718233038504,-9.32247650230511,0
76,8.897723387799003,-7.1565937975142315,0
77,8.754519858675813,-7.839205802598809,0
78,6.990237744618847,-8.226504168486132,0
79,6.542071728433441,-0.5928110572868556,2
80,9.27797206766678,-6.752746959173254,0
81,7.831506033178181,-2.4167917767172518,1
82,8.298077248678476,-7.630140086600926,0
83,7.725128440093958,-2.128756374158387,1
84,8.450272452927248,-8.878736027136874,0
85,7.719242826408605,-3.758541582711496,1
86,8.943535159260225,-1.8877111138089484,1
87,7.563083096895481,-0.6270912402031409,2
88,5.550221538717935,-0.8151748462143824,2
89,9.350065143316098,-7.080409427731463,0
90,6.850382205255343,-3.9360193633479046,1
91,6.946817636932087,-0.88234889441198,2
92,7.971394288299337,0.7107818579814988,2
93,10.26899970998089,-8.782186507062246,0
94,7.950503532466178,-3.7579568709710114,1
95,9.758374653137912,-7.839579798133537,0
96,8.07680682459039,-0.851338592568506,1
97,9.974707576839885,-9.232551183412921,0
98,7.256478217530936,-0.6847615099061601,2
99,10.076640948931056,-6.398600609827959,0
